rank,total_score,relevance,usability,authority,resource_richness,freshness,category,source,domain,title,url,tags,topic,query,summary
1,87.86,96,100.0,62.0,88,55.0,地图数据,csdn,wenku.csdn.net,MakeCode-opoly:MakeCode Arcade中的以MakeCode-Arcade为主题的大富翁游戏！,https://wenku.csdn.net/doc/7jjnyj17ko?ops_request_misc=elastic_search_misc&request_id=065eb046fcb44c2882256499372ff157&biz_id=&utm_medium=distribute.pc_search_result.none-task-c_download-2~all~ElasticSearch~search_v2-2-7jjnyj17ko-null-null.142^v102^pc_search_result_base3&utm_term=MakeCode%20arcade%20%E8%AF%BE%E5%A0%82%20%E6%97%B6%E9%95%BF%20%E4%BD%93%E9%AA%8C,地图|技术文档|开源代码|数据集|教程|SDK/API|可下载资源,对标产品与案例,MakeCode arcade 课堂 时长 体验,【地图数据】MakeCode-opoly:MakeCode Arcade中的以MakeCode-Arcade为主题的大富翁游戏！ | 来源:csdn | 站点:wenku.csdn.net | 提供:地图、技术文档、开源代码、数据集、教程、SDK/API、可下载资源 | 相关词:unity、地图、tile、开源、api、游戏、独立游戏、ai | 摘要:<em>MakeCode</em>-opoly 是一个基于 Microsoft <em>MakeCode</em> <em>Arcade</em> 平台开发的教育型互动游戏项目，其核心定位是将经典桌游“大富翁（Monopoly）”的游戏机制与可视化块编程（Block-based Programming）深度融合，形成一套面向青少年及初学者的编程教学工具。该项目并非简单复刻传统大富翁的规则，而是以计
2,86.94,96.0,98.0,62.0,92.0,45.0,教程视频,csdn,download.csdn.net,61Children-Game-Jam:完美世界（Perfect World）在儿童节举行的48小时游戏果酱比赛,https://download.csdn.net/download/weixin_42144199/18633359?ops_request_misc=elastic_search_misc&request_id=4a2b75d264a441ce97e265d38e53cd35&biz_id=1&utm_medium=distribute.pc_search_result.none-task-download-2~all~ElasticCommercialInsert~search_v2-3-18633359-null-null.142^v102^pc_search_result_base8&utm_term=Game%20Jam%20%E5%84%BF%E7%AB%A5%20%E5%BF%AB%E9%80%9F%20%E5%8E%9F%E5%9E%8B%20%E4%BD%93%E9%AA%8C,模型|技术文档|开源代码|数据集|教程|SDK/API|可下载资源|涉及授权/版权,少儿游戏创作用户痛点,Game Jam 儿童 快速 原型 体验,【教程视频】61Children-Game-Jam:完美世界（Perfect World）在儿童节举行的48小时游戏果酱比赛 | 来源:csdn | 站点:download.csdn.net | 提供:模型、技术文档、开源代码、数据集、教程、SDK/API、可下载资源、涉及授权/版权 | 相关词:unity、开源、sdk、api、demo、github、游戏、game | 摘要:该项目为完美世界举办的<em>儿童</em>节48小时游戏果酱比赛的作品，包含多个Unity脚本，实现角色动画控制、射击动作触发及游戏启动逻辑。核心功能通过Animator与全局变量协同驱动角色行为，结合场景切换与UI
3,86.02,100.0,98.0,62.0,66.0,55.0,三维模型,csdn,wenku.csdn.net,儿童游戏,https://wenku.csdn.net/doc/13hxmm66zj?ops_request_misc=elastic_search_misc&request_id=fa27050693854f10a887ce158ebda858&biz_id=&utm_medium=distribute.pc_search_result.none-task-c_download-2~all~ElasticSearch~search_v2-1-13hxmm66zj-null-null.142^v102^control&utm_term=%E5%9B%BE%E5%BD%A2%E5%8C%96%E7%BC%96%E7%A8%8B%20%E6%B8%B8%E6%88%8F%E5%8C%96%20%E5%84%BF%E7%AB%A5%20%E6%B3%A8%E6%84%8F%E5%8A%9B%20%E6%97%B6%E9%95%BF,技术文档|开源代码|教程|SDK/API|可下载资源|涉及授权/版权,少儿游戏创作用户痛点,图形化编程 游戏化 儿童 注意力 时长,【三维模型】儿童游戏 | 来源:csdn | 站点:wenku.csdn.net | 提供:技术文档、开源代码、教程、SDK/API、可下载资源、涉及授权/版权 | 相关词:手势、开源、api、游戏、game、小游戏、反馈、关卡 | 摘要:“<em>儿童</em>游戏”这一标题看似简单，实则涵盖了一个跨学科、多维度、高度专业化的数字教育产品开发领域。它不仅指代面向3至12岁<em>儿童</em>设计的互动娱乐软件，更深层地体现为融合<em>儿童</em>发展心理学、认知科学、教育学原理、人机交互理论与现代前端工程实践的综合性系统工程。从描述“<em>儿童</em>游戏”这一高度凝练的表述出发，其背后承载的是以<em>儿童</em>为
4,85.82,96,98.0,62.0,76,55.0,三维模型,csdn,wenku.csdn.net,hour-of-code:代码一小时的样板,https://wenku.csdn.net/doc/m2gs19oqpv?ops_request_misc=elastic_search_misc&request_id=d3057ef0817b44a1a5c5f488cb3dfcea&biz_id=&utm_medium=distribute.pc_search_result.none-task-c_download-2~all~ElasticSearch~search_v2-1-m2gs19oqpv-null-null.142^v102^pc_search_result_base5&utm_term=Hour%20of%20Code%20%E5%84%BF%E7%AB%A5%20%E6%B8%B8%E6%88%8F%20%E5%88%B6%E4%BD%9C%20%E4%BD%93%E9%AA%8C%E6%97%B6%E9%95%BF,模型|技术文档|开源代码|教程|SDK/API|可下载资源,对标产品与案例,Hour of Code 儿童 游戏 制作 体验时长,【三维模型】hour-of-code:代码一小时的样板 | 来源:csdn | 站点:wenku.csdn.net | 提供:模型、技术文档、开源代码、教程、SDK/API、可下载资源 | 相关词:开源、api、github、ai、模板、template、生成 | 摘要:“<em>Hour</em> <em>of</em> <em>Code</em>：代码一小时的样板”是一套面向初学者、教育者及节日主题网页开发者的轻量级前端教学模板，其核心目标是通过高度可复用、结构清晰且富有视觉表现力的代码示例，引导用户在短短60分钟内完成一个具备交互性、动画效果与节日氛围的响应式网页作品。该样板并非仅限于“展示”，而是深度融合了现代Web开发中多个关键知识点，构成了一条从HTM
5,85.3,100,98.0,62.0,60,55.0,三维模型,csdn,wenku.csdn.net,NintendoPartnerProject,https://wenku.csdn.net/doc/5fnt845tws?ops_request_misc=elastic_search_misc&request_id=f884627695ba4a78a9dd04e2ff989c02&biz_id=&utm_medium=distribute.pc_search_result.none-task-c_download-2~all~ElasticSearch~search_v2-3-5fnt845tws-null-null.142^v102^pc_search_result_base3&utm_term=Nintendo%20Labo%20%E5%84%BF%E7%AB%A5%20%E5%88%9B%E4%BD%9C%20%E4%BD%93%E9%AA%8C%20%E8%AE%BE%E8%AE%A1,技术文档|开源代码|教程|SDK/API|可下载资源,对标产品与案例,Nintendo Labo 儿童 创作 体验 设计,【三维模型】NintendoPartnerProject | 来源:csdn | 站点:wenku.csdn.net | 提供:技术文档、开源代码、教程、SDK/API、可下载资源 | 相关词:手势、手柄、开源、sdk、api、游戏、game、ai | 摘要:<em>Nintendo</em> Partner Project（任天堂合作伙伴项目）是任天堂官方面向第三方游戏开发商与技术合作伙伴所设立的一套高度专业化、严格管控的软硬件协同开发支持体系，其核心目标在于保障任天堂主机平台（如<em>Nintendo</em> Switch、Switch OLED、Switch Lite及未来下一代主机）生态系统的安全性、稳定性、一致性和用户<em>体验</em
6,85.06,100.0,90.0,62.0,78.0,55.0,开源代码,csdn,wenku.csdn.net,ggj15:全球游戏果酱 2015 游戏,https://wenku.csdn.net/doc/41nxj3sghx?ops_request_misc=elastic_search_misc&request_id=4a2b75d264a441ce97e265d38e53cd35&biz_id=&utm_medium=distribute.pc_search_result.none-task-c_download-2~all~ElasticSearch~search_v2-4-41nxj3sghx-null-null.142^v102^pc_search_result_base8&utm_term=Game%20Jam%20%E5%84%BF%E7%AB%A5%20%E5%BF%AB%E9%80%9F%20%E5%8E%9F%E5%9E%8B%20%E4%BD%93%E9%AA%8C,地图|技术文档|开源代码|SDK/API|可下载资源|涉及授权/版权,少儿游戏创作用户痛点,Game Jam 儿童 快速 原型 体验,【开源代码】ggj15:全球游戏果酱 2015 游戏 | 来源:csdn | 站点:wenku.csdn.net | 提供:地图、技术文档、开源代码、SDK/API、可下载资源、涉及授权/版权 | 相关词:地图、开源、api、github、游戏、game、独立游戏、反馈 | 摘要:“ggj15:全球游戏果酱2015游戏”是一款具有典型<em>Game</em> <em>Jam</em>精神的叙事驱动型HTML5独立游戏，其核心价值不仅体现在最终可运行的交互<em>体验</em>上，更深刻地嵌套在完整的48小时极限开发流程、跨学科协作机制、轻量级技术栈选型与游戏化叙事设计逻辑之中。该游戏以“里奇的杂货店”为场景载体，构建了一个高度浓缩却情感丰沛的亲子日常张力空间：玩家扮演父亲
7,84.66,96.0,88.0,62.0,98.0,45.0,教程视频,csdn,download.csdn.net,“5R”，搭建儿童在博物馆学习的桥梁 ——情感互动视角下博物馆的儿童展览解读.docx,https://download.csdn.net/download/weixin_57147647/23707087?ops_request_misc=elastic_search_misc&request_id=2a5f5c585bfb4d938d369d4ebca1be48&biz_id=1&utm_medium=distribute.pc_search_result.none-task-download-2~all~ElasticSearch~search_v2-1-23707087-null-null.142^v102^control&utm_term=%E4%BA%B2%E5%AD%90%20%E5%8D%9A%E7%89%A9%E9%A6%86%20%E4%BA%92%E5%8A%A8%E4%BD%93%E9%AA%8C%20%E5%84%BF%E7%AB%A5%20%E9%9C%80%E6%B1%82%20%E7%97%9B%E7%82%B9,地图|模型|技术文档|开源代码|数据集|教程|可下载资源|涉及授权/版权,K12用户画像与亲子研学需求,亲子 博物馆 互动体验 儿童 需求 痛点,【教程视频】“5R”，搭建儿童在博物馆学习的桥梁 ——情感互动视角下博物馆的儿童展览解读.docx | 来源:csdn | 站点:download.csdn.net | 提供:地图、模型、技术文档、开源代码、数据集、教程、可下载资源、涉及授权/版权 | 相关词:无人机、城市、3d、地图、github、游戏、ai、agent | 摘要:**强化情感连接**：设计具有情感共鸣的展览主题，激发<em>儿童</em>的情感<em>体验</em>。4. **提供个性化服务**：根据不同年龄段<em>儿童</em>的<em>需求</em>，提供定制化的导览手册或应用程序。5.
8,84.58,96,88.0,62.0,74,80.0,教程视频,csdn,blog.csdn.net,波波熊学伴-儿童AI学习伙伴，让孩子轻松学习知识,https://blog.csdn.net/qynwang/article/details/151754135?ops_request_misc=elastic_search_misc&request_id=5c7b10bd6c4c4ddc8fd31eb87ceffe59&biz_id=0&utm_medium=distribute.pc_search_result.none-task-blog-2~all~ElasticSearch~search_v2-1-151754135-null-null.142^v102^pc_search_result_base1&utm_term=%E5%84%BF%E7%AB%A5%20%E7%9C%8B%E8%A7%81%20AI%20%E5%86%99%E4%BB%A3%E7%A0%81%20%E5%AD%A6%E4%B9%A0%20%E6%95%88%E6%9E%9C,模型|技术文档|开源代码|教程|SDK/API|涉及授权/版权,创作透明化与AI搭档认知,儿童 看见 AI 写代码 学习 效果,【教程视频】波波熊学伴-儿童AI学习伙伴，让孩子轻松学习知识 | 来源:csdn | 站点:blog.csdn.net | 提供:模型、技术文档、开源代码、教程、SDK/API、涉及授权/版权 | 相关词:三维、3d、开源、api、游戏、ai、智能体、大模型 | 摘要:波波熊学伴是一款专为3-12岁<em>儿童</em>设计的<em>AI</em>互动<em>学习</em>平台，通过AR技术、情景化问答、即时挑战和3D知识卡等功能，将<em>学习</em>内容游戏化，提升孩子的<em>学习</em>兴趣与效率。平台支持听读双模式切换，同时提供家长监控功能，帮助了解孩子的<em>学习</em>短板。尽管存在硬件依赖和社交功能缺失等不足，但其创新的多模态教学方式在教
9,84.34,96.0,88.0,62.0,72.0,80.0,教程视频,csdn,blog.csdn.net,儿童启蒙教育助手开发：寓教于乐的AI伙伴,https://blog.csdn.net/weixin_31961675/article/details/155867351?ops_request_misc=elastic_search_misc&request_id=b162ea59e5be4b04a31ed92d00b79990&biz_id=0&utm_medium=distribute.pc_search_result.none-task-blog-2~all~ElasticSearch~search_v2-1-155867351-null-null.142^v102^pc_search_result_base1&utm_term=AI%20%E6%98%AF%E5%88%9B%E4%BD%9C%E4%BC%99%E4%BC%B4%20%E4%B8%8D%E6%98%AF%E4%BB%A3%E5%86%99%20%E5%84%BF%E7%AB%A5%20%E6%95%99%E8%82%B2,模型|技术文档|开源代码|数据集|教程|涉及授权/版权,创作透明化与AI搭档认知,AI 是创作伙伴 不是代写 儿童 教育,【教程视频】儿童启蒙教育助手开发：寓教于乐的AI伙伴 | 来源:csdn | 站点:blog.csdn.net | 提供:模型、技术文档、开源代码、数据集、教程、涉及授权/版权 | 相关词:开源、游戏、ai、llm、gpt、大模型、反馈、平衡 | 摘要:本文介绍如何利用LLama-Factory框架微调大模型，打造适用于3-8岁<em>儿童</em>的启蒙<em>教育</em><em>AI</em>助手。通过QLoRA高效微调、小样本高质量数据训练及本地化部署，实现安全、适龄、富有趣味性的交互体验，并强调<em>AI</em>作为家庭<em>教育</em>辅助工具的人文价值。
10,84.14,80.0,98.0,62.0,92.0,80.0,教程视频,csdn,blog.csdn.net,3步构建AI视频摘要系统：BibiGPT技术架构与实战指南,https://blog.csdn.net/gitblog_00384/article/details/151785546?ops_request_misc=elastic_search_misc&request_id=86d34cca4ba24e1dbe7eb56e8f932539&biz_id=0&utm_medium=distribute.pc_search_result.none-task-blog-2~all~ElasticSearch~search_v2-1-151785546-null-null.142^v102^pc_search_result_base1&utm_term=site%3Abilibili.com%20%E4%BA%B2%E5%AD%90%20%E7%A7%91%E6%8A%80%E9%A6%86%20AI%20%E4%BD%93%E9%AA%8C,模型|技术文档|开源代码|数据集|教程|SDK/API|可下载资源|涉及授权/版权,K12用户画像与亲子研学需求,site:bilibili.com 亲子 科技馆 AI 体验,【教程视频】3步构建AI视频摘要系统：BibiGPT技术架构与实战指南 | 来源:csdn | 站点:blog.csdn.net | 提供:模型、技术文档、开源代码、数据集、教程、SDK/API、可下载资源、涉及授权/版权 | 相关词:开源、api、ai、gpt、模板、生成、bilibili、csdn | 摘要:本文详解BibiGPT开源<em>AI</em>视频摘要系统的三层技术架构<em>：</em>数据获取层（统一跨平台字幕提取）、<em>AI</em>处理层（智能提示词+流式GPT响应）、限流缓存层（Redis限流与缓存）。涵盖从环境配置、Docker/Vercel部署到生产级优化的完整实战路径，并涉及多平台扩展、模型自定义、并发与内存优化等关键技术点，适用于教育、会议等企业级音视频内容自动化处理
